date,state,fips,cases,deaths
2020-03-11,Arkansas,5,1,0
2020-03-12,Arkansas,5,6,0
2020-03-13,Arkansas,5,7,0
2020-03-14,Arkansas,5,9,0
2020-03-15,Arkansas,5,16,0
2020-03-16,Arkansas,5,22,0
2020-03-17,Arkansas,5,22,0
2020-03-18,Arkansas,5,33,0
2020-03-19,Arkansas,5,62,0
2020-03-20,Arkansas,5,100,0
2020-03-21,Arkansas,5,118,0
2020-03-22,Arkansas,5,165,0
2020-03-23,Arkansas,5,201,0
2020-03-24,Arkansas,5,232,2
2020-03-25,Arkansas,5,308,2
2020-03-26,Arkansas,5,351,3
2020-03-27,Arkansas,5,386,3
2020-03-28,Arkansas,5,409,5
2020-03-29,Arkansas,5,449,6
2020-03-30,Arkansas,5,508,7
2020-03-31,Arkansas,5,564,8
2020-04-01,Arkansas,5,624,10
2020-04-02,Arkansas,5,683,12
2020-04-03,Arkansas,5,738,12
