date,state,fips,cases,deaths
2020-02-05,Wisconsin,55,1,0
2020-02-06,Wisconsin,55,1,0
2020-02-07,Wisconsin,55,1,0
2020-02-08,Wisconsin,55,1,0
2020-02-09,Wisconsin,55,1,0
2020-02-10,Wisconsin,55,1,0
2020-02-11,Wisconsin,55,1,0
2020-02-12,Wisconsin,55,1,0
2020-02-13,Wisconsin,55,1,0
2020-02-14,Wisconsin,55,1,0
2020-02-15,Wisconsin,55,1,0
2020-02-16,Wisconsin,55,1,0
2020-02-17,Wisconsin,55,1,0
2020-02-18,Wisconsin,55,1,0
2020-02-19,Wisconsin,55,1,0
2020-02-20,Wisconsin,55,1,0
2020-02-21,Wisconsin,55,1,0
2020-02-22,Wisconsin,55,1,0
2020-02-23,Wisconsin,55,1,0
2020-02-24,Wisconsin,55,1,0
2020-02-25,Wisconsin,55,1,0
2020-02-26,Wisconsin,55,1,0
2020-02-27,Wisconsin,55,1,0
2020-02-28,Wisconsin,55,1,0
2020-02-29,Wisconsin,55,1,0
2020-03-01,Wisconsin,55,1,0
2020-03-02,Wisconsin,55,1,0
2020-03-03,Wisconsin,55,1,0
2020-03-04,Wisconsin,55,1,0
2020-03-05,Wisconsin,55,1,0
2020-03-06,Wisconsin,55,1,0
2020-03-07,Wisconsin,55,1,0
2020-03-08,Wisconsin,55,1,0
2020-03-09,Wisconsin,55,2,0
2020-03-10,Wisconsin,55,3,0
2020-03-11,Wisconsin,55,6,0
2020-03-12,Wisconsin,55,8,0
2020-03-13,Wisconsin,55,19,0
2020-03-14,Wisconsin,55,27,0
2020-03-15,Wisconsin,55,33,0
2020-03-16,Wisconsin,55,47,0
2020-03-17,Wisconsin,55,72,0
2020-03-18,Wisconsin,55,106,0
2020-03-19,Wisconsin,55,155,2
2020-03-20,Wisconsin,55,216,3
2020-03-21,Wisconsin,55,281,4
2020-03-22,Wisconsin,55,382,4
2020-03-23,Wisconsin,55,418,5
2020-03-24,Wisconsin,55,481,5
2020-03-25,Wisconsin,55,623,7
2020-03-26,Wisconsin,55,754,10
2020-03-27,Wisconsin,55,930,16
2020-03-28,Wisconsin,55,1042,17
2020-03-29,Wisconsin,55,1120,17
2020-03-30,Wisconsin,55,1267,20
2020-03-31,Wisconsin,55,1351,25
2020-04-01,Wisconsin,55,1550,33
2020-04-02,Wisconsin,55,1730,37
2020-04-03,Wisconsin,55,1916,49
2020-04-04,Wisconsin,55,2112,60
2020-04-05,Wisconsin,55,2267,73
