date,state,fips,cases,deaths
2020-03-06,Kentucky,21,1,0
2020-03-07,Kentucky,21,1,0
2020-03-08,Kentucky,21,4,0
2020-03-09,Kentucky,21,5,0
2020-03-10,Kentucky,21,7,0
2020-03-11,Kentucky,21,7,0
2020-03-12,Kentucky,21,11,0
2020-03-13,Kentucky,21,11,0
2020-03-14,Kentucky,21,18,0
2020-03-15,Kentucky,21,21,0
2020-03-16,Kentucky,21,22,1
2020-03-17,Kentucky,21,26,1
2020-03-18,Kentucky,21,35,1
2020-03-19,Kentucky,21,47,2
2020-03-20,Kentucky,21,63,2
2020-03-21,Kentucky,21,84,3
2020-03-22,Kentucky,21,103,3
2020-03-23,Kentucky,21,124,3
2020-03-24,Kentucky,21,157,3
2020-03-25,Kentucky,21,198,5
2020-03-26,Kentucky,21,248,5
2020-03-27,Kentucky,21,302,8
2020-03-28,Kentucky,21,394,9
2020-03-29,Kentucky,21,439,9
2020-03-30,Kentucky,21,480,11
2020-03-31,Kentucky,21,590,18
2020-04-01,Kentucky,21,682,20
2020-04-02,Kentucky,21,755,34
2020-04-03,Kentucky,21,770,34
2020-04-04,Kentucky,21,917,40
