date,state,fips,cases,deaths
2020-03-01,Rhode Island,44,2,0
2020-03-02,Rhode Island,44,2,0
2020-03-03,Rhode Island,44,2,0
2020-03-04,Rhode Island,44,2,0
2020-03-05,Rhode Island,44,2,0
2020-03-06,Rhode Island,44,3,0
2020-03-07,Rhode Island,44,3,0
2020-03-08,Rhode Island,44,3,0
2020-03-09,Rhode Island,44,3,0
2020-03-10,Rhode Island,44,5,0
2020-03-11,Rhode Island,44,5,0
2020-03-12,Rhode Island,44,5,0
2020-03-13,Rhode Island,44,20,0
2020-03-14,Rhode Island,44,20,0
2020-03-15,Rhode Island,44,20,0
2020-03-16,Rhode Island,44,21,0
2020-03-17,Rhode Island,44,23,0
2020-03-18,Rhode Island,44,33,0
2020-03-19,Rhode Island,44,44,0
2020-03-20,Rhode Island,44,44,0
2020-03-21,Rhode Island,44,66,0
2020-03-22,Rhode Island,44,83,0
2020-03-23,Rhode Island,44,106,0
2020-03-24,Rhode Island,44,124,0
2020-03-25,Rhode Island,44,132,0
2020-03-26,Rhode Island,44,165,0
2020-03-27,Rhode Island,44,203,0
2020-03-28,Rhode Island,44,239,2
2020-03-29,Rhode Island,44,294,3
2020-03-30,Rhode Island,44,408,4
2020-03-31,Rhode Island,44,488,8
2020-04-01,Rhode Island,44,566,10
2020-04-02,Rhode Island,44,657,12
2020-04-03,Rhode Island,44,711,14
2020-04-04,Rhode Island,44,806,17
2020-04-05,Rhode Island,44,922,25
2020-04-06,Rhode Island,44,1082,27
