date,state,fips,cases,deaths
2020-03-06,South Carolina,45,2,0
2020-03-07,South Carolina,45,2,0
2020-03-08,South Carolina,45,6,0
2020-03-09,South Carolina,45,7,0
2020-03-10,South Carolina,45,9,0
2020-03-11,South Carolina,45,10,0
2020-03-12,South Carolina,45,12,0
2020-03-13,South Carolina,45,13,0
2020-03-14,South Carolina,45,19,0
2020-03-15,South Carolina,45,28,0
2020-03-16,South Carolina,45,33,1
2020-03-17,South Carolina,45,47,1
2020-03-18,South Carolina,45,60,1
2020-03-19,South Carolina,45,81,1
2020-03-20,South Carolina,45,126,3
2020-03-21,South Carolina,45,172,3
2020-03-22,South Carolina,45,194,3
2020-03-23,South Carolina,45,299,5
2020-03-24,South Carolina,45,342,7
2020-03-25,South Carolina,45,424,7
2020-03-26,South Carolina,45,456,9
2020-03-27,South Carolina,45,539,13
2020-03-28,South Carolina,45,660,15
2020-03-29,South Carolina,45,774,16
2020-03-30,South Carolina,45,925,18
2020-03-31,South Carolina,45,1083,22
2020-04-01,South Carolina,45,1293,26
2020-04-02,South Carolina,45,1554,31
2020-04-03,South Carolina,45,1700,34
2020-04-04,South Carolina,45,1917,40
2020-04-05,South Carolina,45,2049,44
