date,state,fips,cases,deaths
2020-03-09,Louisiana,22,1,0
2020-03-10,Louisiana,22,6,0
2020-03-11,Louisiana,22,13,0
2020-03-12,Louisiana,22,14,0
2020-03-13,Louisiana,22,36,0
2020-03-14,Louisiana,22,77,1
2020-03-15,Louisiana,22,103,2
2020-03-16,Louisiana,22,137,3
2020-03-17,Louisiana,22,196,5
2020-03-18,Louisiana,22,280,7
2020-03-19,Louisiana,22,392,10
2020-03-20,Louisiana,22,537,10
2020-03-21,Louisiana,22,763,16
2020-03-22,Louisiana,22,837,20
2020-03-23,Louisiana,22,1172,34
2020-03-24,Louisiana,22,1388,46
2020-03-25,Louisiana,22,1795,65
2020-03-26,Louisiana,22,2305,83
2020-03-27,Louisiana,22,2746,119
2020-03-28,Louisiana,22,3315,137
2020-03-29,Louisiana,22,3540,152
2020-03-30,Louisiana,22,4025,186
2020-03-31,Louisiana,22,5237,240
2020-04-01,Louisiana,22,6424,273
2020-04-02,Louisiana,22,9150,310
2020-04-03,Louisiana,22,10297,370
2020-04-04,Louisiana,22,12496,412
