date,state,fips,cases,deaths
2020-03-11,Mississippi,28,1,0
2020-03-12,Mississippi,28,1,0
2020-03-13,Mississippi,28,6,0
2020-03-14,Mississippi,28,6,0
2020-03-15,Mississippi,28,10,0
2020-03-16,Mississippi,28,12,0
2020-03-17,Mississippi,28,21,0
2020-03-18,Mississippi,28,34,0
2020-03-19,Mississippi,28,50,1
2020-03-20,Mississippi,28,80,1
2020-03-21,Mississippi,28,140,1
2020-03-22,Mississippi,28,207,1
2020-03-23,Mississippi,28,249,1
2020-03-24,Mississippi,28,320,1
2020-03-25,Mississippi,28,377,5
2020-03-26,Mississippi,28,487,6
2020-03-27,Mississippi,28,579,8
2020-03-28,Mississippi,28,669,13
2020-03-29,Mississippi,28,759,14
2020-03-30,Mississippi,28,848,16
2020-03-31,Mississippi,28,937,20
2020-04-01,Mississippi,28,1073,22
2020-04-02,Mississippi,28,1177,26
