date,state,fips,cases,deaths
2020-01-25,California,6,1,0
2020-01-26,California,6,2,0
2020-01-27,California,6,2,0
2020-01-28,California,6,2,0
2020-01-29,California,6,2,0
2020-01-30,California,6,2,0
2020-01-31,California,6,3,0
2020-02-01,California,6,3,0
2020-02-02,California,6,6,0
2020-02-03,California,6,6,0
2020-02-04,California,6,6,0
2020-02-05,California,6,6,0
2020-02-06,California,6,6,0
2020-02-07,California,6,6,0
2020-02-08,California,6,6,0
2020-02-09,California,6,6,0
2020-02-10,California,6,7,0
2020-02-11,California,6,7,0
2020-02-12,California,6,7,0
2020-02-13,California,6,7,0
2020-02-14,California,6,7,0
2020-02-15,California,6,7,0
2020-02-16,California,6,7,0
2020-02-17,California,6,7,0
2020-02-18,California,6,7,0
2020-02-19,California,6,7,0
2020-02-20,California,6,8,0
2020-02-21,California,6,9,0
2020-02-22,California,6,9,0
2020-02-23,California,6,9,0
2020-02-24,California,6,11,0
2020-02-25,California,6,11,0
2020-02-26,California,6,26,0
2020-02-27,California,6,26,0
2020-02-28,California,6,27,0
2020-02-29,California,6,28,0
2020-03-01,California,6,33,0
2020-03-02,California,6,38,0
2020-03-03,California,6,45,0
2020-03-04,California,6,55,1
2020-03-05,California,6,67,1
2020-03-06,California,6,81,1
2020-03-07,California,6,100,1
2020-03-08,California,6,112,1
2020-03-09,California,6,172,2
2020-03-10,California,6,179,3
2020-03-11,California,6,202,4
2020-03-12,California,6,252,4
2020-03-13,California,6,320,5
2020-03-14,California,6,381,5
2020-03-15,California,6,478,6
2020-03-16,California,6,588,11
2020-03-17,California,6,732,14
2020-03-18,California,6,893,17
2020-03-19,California,6,1067,19
2020-03-20,California,6,1283,24
2020-03-21,California,6,1544,28
2020-03-22,California,6,1851,35
2020-03-23,California,6,2240,39
2020-03-24,California,6,2644,52
2020-03-25,California,6,3183,67
2020-03-26,California,6,4060,82
2020-03-27,California,6,4914,102
2020-03-28,California,6,5565,121
2020-03-29,California,6,6266,130
2020-03-30,California,6,7421,146
2020-03-31,California,6,8582,183
2020-04-01,California,6,9816,212
2020-04-02,California,6,10995,243
2020-04-03,California,6,12569,282
2020-04-04,California,6,13796,323
