date,state,fips,cases,deaths
2020-03-07,Missouri,29,1,0
2020-03-08,Missouri,29,1,0
2020-03-09,Missouri,29,1,0
2020-03-10,Missouri,29,1,0
2020-03-11,Missouri,29,1,0
2020-03-12,Missouri,29,2,0
2020-03-13,Missouri,29,4,0
2020-03-14,Missouri,29,5,0
2020-03-15,Missouri,29,5,0
2020-03-16,Missouri,29,9,0
2020-03-17,Missouri,29,16,0
2020-03-18,Missouri,29,21,1
2020-03-19,Missouri,29,35,1
2020-03-20,Missouri,29,73,3
2020-03-21,Missouri,29,93,3
2020-03-22,Missouri,29,130,3
2020-03-23,Missouri,29,183,4
2020-03-24,Missouri,29,255,5
2020-03-25,Missouri,29,377,8
2020-03-26,Missouri,29,507,8
2020-03-27,Missouri,29,671,9
2020-03-28,Missouri,29,838,10
2020-03-29,Missouri,29,903,12
2020-03-30,Missouri,29,1050,13
2020-03-31,Missouri,29,1351,15
2020-04-01,Missouri,29,1581,18
2020-04-02,Missouri,29,1834,24
2020-04-03,Missouri,29,2113,31
2020-04-04,Missouri,29,2291,44
2020-04-05,Missouri,29,2367,52
