date,state,fips,cases,deaths
2020-03-10,South Dakota,46,5,1
2020-03-11,South Dakota,46,8,1
2020-03-12,South Dakota,46,8,1
2020-03-13,South Dakota,46,9,1
2020-03-14,South Dakota,46,9,1
2020-03-15,South Dakota,46,9,1
2020-03-16,South Dakota,46,10,1
2020-03-17,South Dakota,46,11,1
2020-03-18,South Dakota,46,11,1
2020-03-19,South Dakota,46,14,1
2020-03-20,South Dakota,46,14,1
2020-03-21,South Dakota,46,14,1
2020-03-22,South Dakota,46,21,1
2020-03-23,South Dakota,46,28,1
2020-03-24,South Dakota,46,30,1
2020-03-25,South Dakota,46,41,1
2020-03-26,South Dakota,46,46,1
2020-03-27,South Dakota,46,58,1
2020-03-28,South Dakota,46,68,1
2020-03-29,South Dakota,46,90,1
2020-03-30,South Dakota,46,101,1
2020-03-31,South Dakota,46,108,1
2020-04-01,South Dakota,46,129,2
2020-04-02,South Dakota,46,165,2
2020-04-03,South Dakota,46,187,2
2020-04-04,South Dakota,46,212,2
2020-04-05,South Dakota,46,240,2
