date,state,fips,cases,deaths
2020-03-07,Kansas,20,1,0
2020-03-08,Kansas,20,1,0
2020-03-09,Kansas,20,1,0
2020-03-10,Kansas,20,1,0
2020-03-11,Kansas,20,1,0
2020-03-12,Kansas,20,5,1
2020-03-13,Kansas,20,6,1
2020-03-14,Kansas,20,8,1
2020-03-15,Kansas,20,9,1
2020-03-16,Kansas,20,11,1
2020-03-17,Kansas,20,17,1
2020-03-18,Kansas,20,22,1
2020-03-19,Kansas,20,35,1
2020-03-20,Kansas,20,49,1
2020-03-21,Kansas,20,57,2
2020-03-22,Kansas,20,66,2
2020-03-23,Kansas,20,82,2
2020-03-24,Kansas,20,99,3
2020-03-25,Kansas,20,132,3
2020-03-26,Kansas,20,171,3
2020-03-27,Kansas,20,212,4
2020-03-28,Kansas,20,271,6
2020-03-29,Kansas,20,332,7
2020-03-30,Kansas,20,373,9
2020-03-31,Kansas,20,434,10
2020-04-01,Kansas,20,488,11
2020-04-02,Kansas,20,554,14
