date,state,fips,cases,deaths
2020-03-05,Tennessee,47,1,0
2020-03-06,Tennessee,47,1,0
2020-03-07,Tennessee,47,1,0
2020-03-08,Tennessee,47,3,0
2020-03-09,Tennessee,47,4,0
2020-03-10,Tennessee,47,7,0
2020-03-11,Tennessee,47,8,0
2020-03-12,Tennessee,47,18,0
2020-03-13,Tennessee,47,26,0
2020-03-14,Tennessee,47,32,0
2020-03-15,Tennessee,47,39,0
2020-03-16,Tennessee,47,52,0
2020-03-17,Tennessee,47,73,0
2020-03-18,Tennessee,47,98,0
2020-03-19,Tennessee,47,155,0
2020-03-20,Tennessee,47,237,0
2020-03-21,Tennessee,47,312,2
2020-03-22,Tennessee,47,424,2
2020-03-23,Tennessee,47,522,2
2020-03-24,Tennessee,47,679,2
2020-03-25,Tennessee,47,806,3
2020-03-26,Tennessee,47,981,3
2020-03-27,Tennessee,47,1180,6
2020-03-28,Tennessee,47,1364,6
2020-03-29,Tennessee,47,1570,7
2020-03-30,Tennessee,47,1721,13
2020-03-31,Tennessee,47,2049,13
2020-04-01,Tennessee,47,2690,23
2020-04-02,Tennessee,47,2869,32
2020-04-03,Tennessee,47,3032,36
2020-04-04,Tennessee,47,3265,47
2020-04-05,Tennessee,47,3538,50
