date,state,fips,cases,deaths
2020-03-08,Iowa,19,3,0
2020-03-09,Iowa,19,8,0
2020-03-10,Iowa,19,13,0
2020-03-11,Iowa,19,14,0
2020-03-12,Iowa,19,16,0
2020-03-13,Iowa,19,17,0
2020-03-14,Iowa,19,18,0
2020-03-15,Iowa,19,22,0
2020-03-16,Iowa,19,22,0
2020-03-17,Iowa,19,29,0
2020-03-18,Iowa,19,38,0
2020-03-19,Iowa,19,44,0
2020-03-20,Iowa,19,45,0
2020-03-21,Iowa,19,68,0
2020-03-22,Iowa,19,90,0
2020-03-23,Iowa,19,105,0
2020-03-24,Iowa,19,124,1
2020-03-25,Iowa,19,145,1
2020-03-26,Iowa,19,179,1
2020-03-27,Iowa,19,235,3
2020-03-28,Iowa,19,298,3
2020-03-29,Iowa,19,336,4
2020-03-30,Iowa,19,424,6
2020-03-31,Iowa,19,498,7
2020-04-01,Iowa,19,549,9
2020-04-02,Iowa,19,614,11
2020-04-03,Iowa,19,699,11
2020-04-04,Iowa,19,786,11
