date,state,fips,cases,deaths
2020-03-12,Alaska,2,1,0
2020-03-13,Alaska,2,1,0
2020-03-14,Alaska,2,1,0
2020-03-15,Alaska,2,1,0
2020-03-16,Alaska,2,3,0
2020-03-17,Alaska,2,6,0
2020-03-18,Alaska,2,9,0
2020-03-19,Alaska,2,12,0
2020-03-20,Alaska,2,14,0
2020-03-21,Alaska,2,21,0
2020-03-22,Alaska,2,22,0
2020-03-23,Alaska,2,36,0
2020-03-24,Alaska,2,42,0
2020-03-25,Alaska,2,59,0
2020-03-26,Alaska,2,69,0
2020-03-27,Alaska,2,85,1
2020-03-28,Alaska,2,102,1
2020-03-29,Alaska,2,114,1
2020-03-30,Alaska,2,119,2
2020-03-31,Alaska,2,133,2
2020-04-01,Alaska,2,143,2
2020-04-02,Alaska,2,146,2
2020-04-03,Alaska,2,156,2
