date,state,fips,cases,deaths
2020-03-06,Pennsylvania,42,2,0
2020-03-07,Pennsylvania,42,4,0
2020-03-08,Pennsylvania,42,6,0
2020-03-09,Pennsylvania,42,10,0
2020-03-10,Pennsylvania,42,12,0
2020-03-11,Pennsylvania,42,16,0
2020-03-12,Pennsylvania,42,22,0
2020-03-13,Pennsylvania,42,41,0
2020-03-14,Pennsylvania,42,47,0
2020-03-15,Pennsylvania,42,68,0
2020-03-16,Pennsylvania,42,81,0
2020-03-17,Pennsylvania,42,101,0
2020-03-18,Pennsylvania,42,139,1
2020-03-19,Pennsylvania,42,187,1
2020-03-20,Pennsylvania,42,269,1
2020-03-21,Pennsylvania,42,388,2
2020-03-22,Pennsylvania,42,504,3
2020-03-23,Pennsylvania,42,644,6
2020-03-24,Pennsylvania,42,851,7
2020-03-25,Pennsylvania,42,1151,11
2020-03-26,Pennsylvania,42,1690,16
2020-03-27,Pennsylvania,42,2218,23
2020-03-28,Pennsylvania,42,2815,35
2020-03-29,Pennsylvania,42,3441,40
2020-03-30,Pennsylvania,42,4156,48
2020-03-31,Pennsylvania,42,4997,72
2020-04-01,Pennsylvania,42,5805,74
2020-04-02,Pennsylvania,42,7016,90
